folder	genename	effect_size_iptghigh_mean	effect_size_iptghigh_sd	lower_iptghigh	upper_iptghigh	effect_size_iptglow_mean	effect_size_iptglow_sd	lower_iptglow	upper_iptglow
RcaT-Eco1	P1_gp001	0.4984444444444444	0.4764268336038366	0.022017610840607826	0.974871278048281	0.3605555555555556	0.51515097571273	-0.15459542015717448	0.8757065312682857
RcaT-Eco1	P1_gp002	0.7594444444444445	0.45405316624573583	0.30539127819870865	1.2134976106901803	0.4184444444444445	0.950226566550198	-0.5317821221057535	1.3686710109946425
RcaT-Eco1	P1_gp003	0.32649999999999996	0.4710865101019132	-0.14458651010191326	0.7975865101019132	0.4878	0.6537729473346743	-0.16597294733467427	1.1415729473346743
RcaT-Eco1	P1_gp004	0.9472222222222222	0.6981638020152896	0.24905842020693258	1.6453860242375118	-0.15466666666666662	1.1176653121574456	-1.2723319788241123	0.962998645490779
RcaT-Eco1	P1_gp005	0.8153	0.4534031931466248	0.3618968068533752	1.2687031931466248	-0.3025999999999999	0.7681490306791602	-1.07074903067916	0.46554903067916026
RcaT-Eco1	P1_gp006	0.5807777777777778	0.6104817314583988	-0.029703953680620954	1.1912595092361766	-0.22088888888888886	0.7890664491100297	-1.0099553379989186	0.5681775602211407
RcaT-Eco1	P1_gp007	0.627	0.6339190274264792	-0.006919027426479207	1.2609190274264792	-0.37310000000000004	0.767991963210264	-1.141091963210264	0.39489196321026393
RcaT-Eco1	P1_gp008	0.28330000000000005	0.862565817134489	-0.5792658171344889	1.145865817134489	-0.4652	0.7005311952765242	-1.1657311952765241	0.23533119527652419
RcaT-Eco1	P1_gp009	0.3668	0.4619720530267797	-0.09517205302677967	0.8287720530267797	-0.11340000000000003	0.36747855568575544	-0.48087855568575544	0.25407855568575544
RcaT-Eco1	P1_gp010	0.35469999999999996	0.2873128569656739	0.06738714303432608	0.6420128569656738	-0.3126	0.7027027504966489	-1.015302750496649	0.3901027504966489
RcaT-Eco1	P1_gp011	0.26940000000000003	0.6404472742631598	-0.3710472742631598	0.9098472742631598	0.28489999999999993	0.3187992924849252	-0.03389929248492529	0.6036992924849252
RcaT-Eco1	P1_gp012	0.3327	0.7399840914205896	-0.40728409142058963	1.0726840914205895	0.06540000000000003	0.6882700051578595	-0.6228700051578595	0.7536700051578595
RcaT-Eco1	P1_gp013	0.2171	0.5829618722047304	-0.36586187220473043	0.8000618722047304	0.23829999999999998	0.6718478746462376	-0.4335478746462377	0.9101478746462376
RcaT-Eco1	P1_gp014	0.5327	0.5804550035197484	-0.047755003519748485	1.1131550035197484	0.18400000000000005	0.7687980517954273	-0.5847980517954272	0.9527980517954273
RcaT-Eco1	P1_gp015	0.3834	0.8802535240864797	-0.4968535240864797	1.2636535240864797	-0.032200000000000055	0.5905021968159344	-0.6227021968159344	0.5583021968159344
RcaT-Eco1	P1_gp016	0.6948	0.34653580863550976	0.3482641913644902	1.0413358086355098	-0.02169999999999998	0.3481369621922447	-0.3698369621922447	0.3264369621922447
RcaT-Eco1	P1_gp017	0.2872	0.37113513561624545	-0.08393513561624544	0.6583351356162455	0.6174	0.8925336221491417	-0.2751336221491417	1.5099336221491417
RcaT-Eco1	P1_gp018	0.2126	0.5325146216041605	-0.3199146216041605	0.7451146216041605	-0.1969	0.3393397019703609	-0.5362397019703609	0.1424397019703609
RcaT-Eco1	P1_gp019	0.2739	0.5011436808829269	-0.22724368088292696	0.7750436808829269	-0.2056	0.21579887755860908	-0.42139887755860905	0.01019887755860907
RcaT-Eco1	P1_gp020	0.03109999999999995	0.42226570097774013	-0.39116570097774017	0.4533657009777401	0.15889999999999999	0.25812161216501545	-0.09922161216501546	0.41702161216501543
RcaT-Eco1	P1_gp021	-0.0974	0.35161727931248077	-0.44901727931248075	0.2542172793124808	0.3226	0.30155198556799456	0.021048014432005435	0.6241519855679946
RcaT-Eco1	P1_gp022	0.223888888888889	0.7891876273175544	-0.5652987384286654	1.0130765162064435	0.5506666666666666	0.7457732564258389	-0.19510658975917228	1.2964399230925054
RcaT-Eco1	P1_gp023	-0.2983	0.5493661094590949	-0.8476661094590949	0.2510661094590949	-0.41150000000000003	0.49054533146511775	-0.9020453314651178	0.07904533146511772
RcaT-Eco1	P1_gp024	-0.059999999999999956	0.5007596451614509	-0.5607596451614508	0.44075964516145094	0.035499999999999976	0.6300485431033601	-0.5945485431033601	0.6655485431033601
RcaT-Eco1	P1_gp025	-0.014000000000000002	0.23851252005339724	-0.25251252005339725	0.22451252005339722	0.009699999999999997	0.7431101383898472	-0.7334101383898471	0.7528101383898472
RcaT-Eco1	P1_gp026	0.06699999999999998	0.8654898420355185	-0.7984898420355185	0.9324898420355184	-0.19340000000000002	0.34313981601285115	-0.5365398160128512	0.14973981601285113
RcaT-Eco1	P1_gp028	-0.10325000000000001	0.6282066880073331	-0.7314566880073332	0.5249566880073331	0.08662500000000004	0.5420397817503804	-0.4554147817503803	0.6286647817503804
RcaT-Eco1	P1_gp029	0.0841	0.8008557159549888	-0.7167557159549889	0.8849557159549888	-0.3341	0.6691748567369286	-1.0032748567369285	0.33507485673692855
RcaT-Eco1	P1_gp030	-0.24087500000000003	0.6653096888989797	-0.9061846888989797	0.4244346888989796	-0.615	0.19859380654995265	-0.8135938065499526	-0.41640619345004737
