folder	genename	effect_size_iptghigh_mean	effect_size_iptghigh_sd	lower_iptghigh	upper_iptghigh	effect_size_iptglow_mean	effect_size_iptglow_sd	lower_iptglow	upper_iptglow
ApeA	P1_gp001	-0.6506666666666668	1.0143519501572809	-1.6650186168239478	0.363685283490614	-0.6608333333333334	1.1614255216862779	-1.8222588550196113	0.5005921883529445
ApeA	P1_gp002	-0.93575	0.649018157050955	-1.5847681570509549	-0.28673184294904497	0.07508333333333327	0.8564777191108554	-0.7813943857775221	0.9315610524441886
ApeA	P1_gp003	-0.8405	0.5133762575520822	-1.3538762575520822	-0.32712374244791786	0.2686666666666667	0.605442337669265	-0.3367756710025983	0.8741090043359317
ApeA	P1_gp004	-0.2948333333333333	0.6075703974674769	-0.9024037308008102	0.3127370641341436	-0.3118333333333333	0.49729227428204226	-0.8091256076153756	0.18545894094870896
ApeA	P1_gp005	-0.33233333333333337	0.47384794901727584	-0.8061812823506092	0.14151461568394247	-0.22725	0.4063221124808606	-0.6335721124808606	0.17907211248086058
ApeA	P1_gp006	-0.5045833333333334	0.6520944519334789	-1.1566777852668122	0.14751111860014554	-0.43283333333333335	0.5867497272468412	-1.0195830605801746	0.1539163939135078
ApeA	P1_gp007	-0.04866666666666668	0.3728156584044119	-0.4214823250710786	0.3241489917377452	-0.039083333333333324	0.4332780879702452	-0.4723614213035785	0.3941947546369119
ApeA	P1_gp008	-0.4565	0.4240226194652613	-0.8805226194652613	-0.0324773805347387	-0.08324999999999999	0.4465610260647474	-0.5298110260647474	0.3633110260647474
ApeA	P1_gp009	-0.43966666666666665	0.7670872100868243	-1.206753876753491	0.3274205434201577	-0.4245833333333333	0.7073316643084299	-1.131914997641763	0.28274833097509655
ApeA	P1_gp010	-0.055666666666666656	0.29689739070268134	-0.352564057369348	0.2412307240360147	-0.07958333333333333	0.4866519118767883	-0.5662352452101216	0.40706857854345496
ApeA	P1_gp011	0.42258333333333337	0.4225049667988495	7.836653448384245e-5	0.845088300132183	-0.05799999999999997	0.24418361198826666	-0.3021836119882666	0.1861836119882667
ApeA	P1_gp012	-0.10125000000000003	0.3200329883564562	-0.4212829883564563	0.21878298835645618	-0.19875	0.6684193192627187	-0.8671693192627187	0.4696693192627187
ApeA	P1_gp013	-0.07016666666666667	0.46676270656772084	-0.5369293732343875	0.3965960399010542	-0.2931666666666667	0.4918774483978954	-0.7850441150645621	0.1987107817312287
ApeA	P1_gp014	-0.08758333333333333	0.32854789559053593	-0.4161312289238693	0.24096456225720259	-0.18133333333333335	0.3781525265462778	-0.5594858598796111	0.19681919321294444
ApeA	P1_gp015	-0.16183333333333333	0.37813413525153244	-0.5399674685848658	0.21630080191819911	-0.5036666666666667	0.3228789059055854	-0.8265455725722521	-0.18078776076108133
ApeA	P1_gp016	-0.047333333333333345	0.4704580617640513	-0.5177913950973847	0.42312472843071797	0.04716666666666665	0.42152835197072036	-0.3743616853040537	0.468695018637387
ApeA	P1_gp017	0.027833333333333377	0.516636294317444	-0.4888029609841106	0.5444696276507773	-0.061083333333333295	0.5192259025499286	-0.5803092358832619	0.45814256921659535
ApeA	P1_gp018	-0.031499999999999986	0.2526771205960826	-0.2841771205960826	0.22117712059608263	-0.08975	0.5930707645957453	-0.6828207645957453	0.5033207645957453
ApeA	P1_gp019	-0.20883333333333332	0.4795482406927536	-0.6883815740260869	0.2707149073594203	-0.23866666666666667	0.38536436909721816	-0.6240310357638849	0.1466977024305515
ApeA	P1_gp020	-0.135	0.5242449115372769	-0.6592449115372769	0.3892449115372769	-0.35750000000000004	0.364666597418419	-0.722166597418419	0.007166597418418963
ApeA	P1_gp021	-0.39175	0.42853495136972736	-0.8202849513697273	0.03678495136972737	-0.20883333333333337	0.5116728062014442	-0.7205061395347776	0.3028394728681108
ApeA	P1_gp022	0.7336666666666668	1.104115150999508	-0.37044848433284117	1.8377818176661749	-0.3715000000000001	0.25642055299838984	-0.62792055299839	-0.11507944700161027
ApeA	P1_gp023	-0.02733333333333334	0.4424983478825519	-0.4698316812158852	0.41516501454921856	-0.2999166666666667	0.6682385880851694	-0.9681552547518362	0.36832192141850273
ApeA	P1_gp024	-0.1905	0.27509783383701547	-0.4655978338370155	0.08459783383701547	-0.16433333333333333	0.27870392675360495	-0.4430372600869383	0.11437059342027162
ApeA	P1_gp025	0.24	0.37117528326801463	-0.13117528326801464	0.6111752832680146	0.03358333333333332	0.41595945133091417	-0.38237611799758087	0.44954278466424746
ApeA	P1_gp026	0.27191666666666664	0.3041008978293324	-0.03218423116266578	0.5760175644959991	-0.03933333333333336	0.45674367853183023	-0.4960770118651636	0.41741034519849685
ApeA	P1_gp027	0.028583333333333367	0.3404484898518779	-0.3118651565185446	0.36903182318521127	-0.07425000000000001	0.28683987455785087	-0.3610898745578509	0.21258987455785086
ApeA	P1_gp028	0.06900000000000009	0.3897700176599869	-0.3207700176599868	0.45877001765998704	-0.11433333333333337	0.2811125515992959	-0.3954458849326292	0.1667792182659625
ApeA	P1_gp029	-0.13575000000000004	0.6249506837686133	-0.7607006837686133	0.48920068376861325	0.1275	0.41563823555724855	-0.28813823555724855	0.5431382355572485
ApeA	P1_gp030	-0.24816666666666662	0.6662154761081888	-0.9143821427748554	0.4180488094415221	-0.12333333333333334	0.43269227640507524	-0.5560256097384085	0.3093589430717419
ApeA	P1_gp031	0.30291666666666667	0.31239673445311444	-0.009480067786447777	0.6153134011197812	-0.07608333333333331	0.46913817664722063	-0.545221509980554	0.3930548433138873
