genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.092954485794802,0.927896239466701,0.367881474361953,0.715448240538305,0.759220736568462,-8.04284694794465
P1_gp002,4.24597791889681,2.45321719572819,12.9577073094516,4.32990374921042e-14,1.28934911643155e-12,21.6525316128069
P1_gp003,-0.0133637633318816,-0.0195357477395414,-0.0592486508909654,0.953132322833214,0.960298731275569,-8.12363176245571
P1_gp004,-0.39147799563939,0.118215093100589,-1.79730227887675,0.0819836182458341,0.116251903121077,-6.55304208944365
P1_gp005,-0.14255262126564,0.0288146986318924,-0.738433248252744,0.46577564174429,0.533452444390896,-7.83284319586993
P1_gp006,-0.0704241160381564,0.264988267033527,-0.374076207569846,0.710880480950378,0.759220736568462,-8.05398581153842
P1_gp007,-0.00685209710792908,0.191991615859987,-0.0338296571543822,0.97322871335365,0.976873764714525,-8.13429104681364
P1_gp008,-0.462851160117559,0.602325638319547,-3.62395820492975,0.00102052752266224,0.00215355414231086,-2.45003286457255
P1_gp009,-0.0860641031982006,0.58127574512532,-0.437343631790731,0.664877707951467,0.717455228050709,-8.0088613844167
P1_gp010,0.417219709489761,1.15162100807391,1.78361940362126,0.0842263758782284,0.118803519659817,-6.56179049088601
P1_gp011,2.09183173689352,-0.287105049884264,6.40898612740604,3.76054516225397e-07,1.57472828669385e-06,5.41042193484936
P1_gp012,0.0265163138464636,0.813852977189282,0.128133268114692,0.89886671738537,0.919451451371294,-8.10005227201035
P1_gp013,-0.37680377966751,-0.097836634819563,-3.85154361176189,0.000547365254505465,0.00124316854413106,-1.85856243176834
P1_gp014,-0.433726672472318,-0.2098799375293,-3.14973027128656,0.00359229836598721,0.00660678457051058,-3.6712881959797
P1_gp015,-0.632198415697873,-0.0313591865979117,-2.69056382785896,0.0113625748045603,0.0187973459729762,-4.77467811974666
P1_gp016,-0.643093476875056,-0.0170063537212631,-4.00945377969157,0.000353252855111496,0.000852898785314243,-1.44422103668372
P1_gp017,-0.195950211737611,0.922487648045682,-1.41704268194893,0.166389487614514,0.216790167227998,-7.0825536206955
P1_gp018,-0.815118969759432,-0.132407452967678,-10.7069090192172,5.728759777147e-12,9.88458756387274e-11,16.6971110310488
P1_gp019,-0.487227737251014,0.0804723074760495,-3.95364436718133,0.000412584340148777,0.000961500897042368,-1.58068762308563
P1_gp020,-0.282678785804948,-0.804260580939637,-1.63592762626764,0.111915000668119,0.153026633566611,-6.72204865455001
P1_gp021,0.151180471620299,0.0568916620902939,1.19327160186831,0.24176744324697,0.298588363088424,-7.41546791056882
